subgroup,stage,tx,HR,prop_withoutER,prop_withER,prop_withERchemo,prop_withERchemoERpos
ER-,Advanced,None,1,0.8,1,0,0
ER-,Advanced,Tamoxifen,1,0.2,0,0,0
ER-,Advanced,Chemo,0.775,0,0,1,1
ER-,Advanced,Tam+Chemo,0.775,0,0,0,0
ER-,Early,None,1,0.8,1,0,0
ER-,Early,Tamoxifen,1,0.2,0,0,0
ER-,Early,Chemo,0.775,0,0,1,1
ER-,Early,Tam+Chemo,0.775,0,0,0,0
ER+,Advanced,None,1,0.8,0,0,0
ER+,Advanced,Tamoxifen,0.7,0.2,1,1,0
ER+,Advanced,Chemo,0.775,0,0,0,0
ER+,Advanced,Tam+Chemo,0.5425,0,0,0,1
ER+,Early,None,1,0.8,0,0,0
ER+,Early,Tamoxifen,0.7,0.2,1,1,1
ER+,Early,Chemo,0.775,0,0,0,0
ER+,Early,Tam+Chemo,0.5425,0,0,0,0
