"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"withoutER",0,0,0,NA,NA
"withoutER",5,0,0,NA,NA
"withoutER",10,0.0200424083695177,0.0200424083695177,NA,NA
"withoutER",15,0.100425472915743,0.100425472915743,NA,NA
"withoutER",20,0.686088708360638,0.686088708360638,NA,NA
"withoutER",25,2.16012572480882,2.16012572480882,NA,NA
"withoutER",30,5.22378435208722,5.22378435208722,NA,NA
"withoutER",35,12.0260843910746,12.0260843910746,NA,NA
"withoutER",40,26.1952877898422,26.1952877898422,NA,NA
"withoutER",45,40.9289337119145,40.9289337119145,NA,NA
"withoutER",50,57.6478835532205,57.6478835532205,NA,NA
"withoutER",55,71.0872607425847,71.0872607425847,NA,NA
"withoutER",60,89.5314109088246,89.5314109088246,NA,NA
"withoutER",65,103.47177717865,103.47177717865,NA,NA
"withoutER",70,99.9124830621208,99.9124830621208,NA,NA
"withoutER",75,63.6646592569979,63.6646592569979,NA,NA
"withoutER",80,42.7413825803853,42.7413825803853,NA,NA
"withoutER",85,34.4439559070469,34.4439559070469,NA,NA
"withoutER",90,15.9006745977212,15.9006745977212,NA,NA
"withoutER",95,8.46993625515285,8.46993625515285,NA,NA
"withoutER",100,4.93427538118697,4.93427538118697,NA,NA
"withoutER",105,3.81853861258176,3.81853861258176,NA,NA
"withoutER",110,2.9781640089532,2.9781640089532,NA,NA
"withoutER",115,2.89736045890009,2.89736045890009,NA,NA
"withoutER",120,NA,NA,NA,NA
"withoutER",125,NA,NA,NA,NA
"withER",0,0,0,NA,NA
"withER",5,0,0,NA,NA
"withER",10,0.0200424046909995,0.0200424046909995,NA,NA
"withER",15,0.100425469928308,0.100425469928308,NA,NA
"withER",20,0.625556479361686,0.625556479361686,NA,NA
"withER",25,2.0378258467541,2.0378258467541,NA,NA
"withER",30,4.97498350528593,4.97498350528593,NA,NA
"withER",35,11.8983509245959,11.8983509245959,NA,NA
"withER",40,25.0948954746253,25.0948954746253,NA,NA
"withER",45,39.3873216353759,39.3873216353759,NA,NA
"withER",50,56.6466848550446,56.6466848550446,NA,NA
"withER",55,69.6231455580773,69.6231455580773,NA,NA
"withER",60,87.0780712675856,87.0780712675856,NA,NA
"withER",65,101.786476313479,101.786476313479,NA,NA
"withER",70,99.0474572300177,99.0474572300177,NA,NA
"withER",75,63.9613013298579,63.9613013298579,NA,NA
"withER",80,44.9506060619315,44.9506060619315,NA,NA
"withER",85,35.4618062040114,35.4618062040114,NA,NA
"withER",90,16.1709517500526,16.1709517500526,NA,NA
"withER",95,9.77101048354111,9.77101048354111,NA,NA
"withER",100,5.48930607902439,5.48930607902439,NA,NA
"withER",105,4.84167474336588,4.84167474336588,NA,NA
"withER",110,3.35130091345349,3.35130091345349,NA,NA
"withER",115,3.08194341281572,3.08194341281572,NA,NA
"withER",120,NA,NA,NA,NA
"withER",125,NA,NA,NA,NA
"Historical",0,NA,NA,0,0
"Historical",5,NA,NA,0,0
"Historical",10,NA,NA,0.0400873054527292,0.000200311485488441
"Historical",15,NA,NA,0.381589167968666,0.00200587927486439
"Historical",20,NA,NA,1.5538810958441,0.00925513601609687
"Historical",25,NA,NA,5.0742377017628,0.0308920974564417
"Historical",30,NA,NA,9.76332391991364,0.0683562456294327
"Historical",35,NA,NA,24.9654099331941,0.165268684662451
"Historical",40,NA,NA,47.0713075109963,0.337471317154005
"Historical",45,NA,NA,61.4622931071478,0.509576600343337
"Historical",50,NA,NA,77.1800517139235,0.684457125961935
"Historical",55,NA,NA,96.1003925143384,0.86189756302507
"Historical",60,NA,NA,115.913451399246,1.06609315934652
"Historical",65,NA,NA,120.141105473786,1.19637709383793
"Historical",70,NA,NA,68.4769579560465,1.03002812715749
"Historical",75,NA,NA,33.2348565376902,0.688682935797078
"Historical",80,NA,NA,30.3150890756679,0.566238301639034
"Historical",85,NA,NA,11.8919107306822,0.412924512758356
"Historical",90,NA,NA,0,0.241281784728114
"Historical",95,NA,NA,0,0.161944200699424
"Historical",100,NA,NA,0,0.119654927510638
"Historical",105,NA,NA,0,0.0950099672253721
"Historical",110,NA,NA,0,0.0759344321864049
"Historical",115,NA,NA,0,0.0610544042164161
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
