"Group","Time","Trial","Treatment","Advanced_ER-","Advanced_ER+","Early_ER-","Early_ER+","Total","Note"
"Control",5,"withER","Chemo",0,NA,0,NA,0,"Numbers reflect population size of 100000 women"
"Control",5,"withER","None",118.49,0,21.73,0,140.22,""
"Control",5,"withER","Tamoxifen",0,49.92,0,9.29,59.21,""
"Control",5,"withERchemo","Chemo",118.49,NA,21.73,NA,140.22,""
"Control",5,"withERchemo","None",0,0,0,0,0,""
"Control",5,"withERchemo","Tamoxifen",0,49.92,0,9.29,59.21,""
"Control",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",5,"withoutER","None",93.96,39.87,17.19,7.47,158.49,""
"Control",5,"withoutER","Tamoxifen",24.53,10.05,4.54,1.82,40.94,""
"Control",10,"withER","Chemo",0,NA,0,NA,0,""
"Control",10,"withER","None",254.18,0,45.49,0,299.67,""
"Control",10,"withER","Tamoxifen",0,110.49,0,19.33,129.82,""
"Control",10,"withERchemo","Chemo",254.18,NA,45.49,NA,299.67,""
"Control",10,"withERchemo","None",0,0,0,0,0,""
"Control",10,"withERchemo","Tamoxifen",0,110.49,0,19.33,129.82,""
"Control",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",10,"withoutER","None",202.02,88.18,35.94,15.35,341.49,""
"Control",10,"withoutER","Tamoxifen",52.16,22.31,9.55,3.98,88,""
"Screen",5,"withER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withER","None",118.49,0,21.73,0,140.22,""
"Screen",5,"withER","Tamoxifen",0,49.92,0,9.29,59.21,""
"Screen",5,"withERchemo","Chemo",118.49,NA,21.73,NA,140.22,""
"Screen",5,"withERchemo","None",0,0,0,0,0,""
"Screen",5,"withERchemo","Tamoxifen",0,49.92,0,9.29,59.21,""
"Screen",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withoutER","None",93.96,39.87,17.19,7.47,158.49,""
"Screen",5,"withoutER","Tamoxifen",24.53,10.05,4.54,1.82,40.94,""
"Screen",10,"withER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withER","None",254.18,0,45.49,0,299.67,""
"Screen",10,"withER","Tamoxifen",0,110.49,0,19.33,129.82,""
"Screen",10,"withERchemo","Chemo",254.18,NA,45.49,NA,299.67,""
"Screen",10,"withERchemo","None",0,0,0,0,0,""
"Screen",10,"withERchemo","Tamoxifen",0,110.49,0,19.33,129.82,""
"Screen",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withoutER","None",202.02,88.18,35.94,15.35,341.49,""
"Screen",10,"withoutER","Tamoxifen",52.16,22.31,9.55,3.98,88,""
