"Follow-up","Measure","SubMeasure","withoutER","withER","withERchemo","Note"
"5","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","67 (63,71)","61 (57,65)","56 (52,61)","Note: Results per 1e+05 women"
"","","Screening","67 (63,71)","61 (57,65)","56 (52,61)","Note: Results per 1e+05 women"
"","MRRs within trials","","1.00 (1.00,1.00)","1.00 (1.00,1.00)","1.00 (1.00,1.00)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.91 (0.91,0.92)","0.84 (0.83,0.86)","Note: Results per 1e+05 women"
"","","Screening","1.00 (1.00,1.00)","0.91 (0.91,0.92)","0.84 (0.83,0.86)","Note: Results per 1e+05 women"
"","ARRs within trials","","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)"," 6.0 ( 6.0, 6.0)","10.5 (10.0,11.0)","Note: Results per 1e+05 women"
"","","Screening"," 0.0 ( 0.0, 0.0)"," 6.0 ( 6.0, 6.0)","10.5 (10.0,11.0)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","  0.0 (  0.0,  0.0)"," -9.4 (-11.7, -7.1)","-22.8 (-24.4,-21.2)","Note: Results per 1e+05 women"
"","","Screening","  0.0 (  0.0,  0.0)"," -9.4 (-11.7, -7.1)","-22.8 (-24.4,-21.2)","Note: Results per 1e+05 women"
"10","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","196 (186,206)","188 (182,194)","168 (161,176)","Note: Results per 1e+05 women"
"","","Screening","196 (186,206)","188 (182,194)","168 (161,176)","Note: Results per 1e+05 women"
"","MRRs within trials","","1.00 (1.00,1.00)","1.00 (1.00,1.00)","1.00 (1.00,1.00)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.96 (0.94,0.98)","0.86 (0.85,0.87)","Note: Results per 1e+05 women"
"","","Screening","1.00 (1.00,1.00)","0.96 (0.94,0.98)","0.86 (0.85,0.87)","Note: Results per 1e+05 women"
"","ARRs within trials","","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)"," 8.0 ( 3.2,12.7)","27.5 (24.2,30.8)","Note: Results per 1e+05 women"
"","","Screening"," 0.0 ( 0.0, 0.0)"," 8.0 ( 3.2,12.7)","27.5 (24.2,30.8)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","   0.0 (   0.0,   0.0)"," -35.7 ( -39.0, -32.5)","-114.4 (-114.7,-114.2)","Note: Results per 1e+05 women"
"","","Screening","   0.0 (   0.0,   0.0)"," -35.7 ( -39.0, -32.5)","-114.4 (-114.7,-114.2)","Note: Results per 1e+05 women"
