"Group","Time","Trial","Treatment","Advanced_ER-","Advanced_ER+","Early_ER-","Early_ER+","Total","Note"
"Control",5,"withER","Chemo",0,NA,0,NA,0,"Numbers reflect population size of 100000 women"
"Control",5,"withER","None",177.57,0,31.49,0,209.06,""
"Control",5,"withER","Tamoxifen",0,75.69,0,13.23,88.92,""
"Control",5,"withERchemo","Chemo",177.57,NA,31.49,NA,209.06,""
"Control",5,"withERchemo","None",0,0,0,0,0,""
"Control",5,"withERchemo","Tamoxifen",0,75.69,0,13.23,88.92,""
"Control",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",5,"withoutER","None",142.14,59.93,25.11,10.38,237.56,""
"Control",5,"withoutER","Tamoxifen",35.43,15.76,6.38,2.85,60.42,""
"Control",10,"withER","Chemo",0,NA,0,NA,0,""
"Control",10,"withER","None",415.28,0,73.17,0,488.45,""
"Control",10,"withER","Tamoxifen",0,176.23,0,30.76,206.99,""
"Control",10,"withERchemo","Chemo",415.28,NA,73.17,NA,488.45,""
"Control",10,"withERchemo","None",0,0,0,0,0,""
"Control",10,"withERchemo","Tamoxifen",0,176.23,0,30.76,206.99,""
"Control",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",10,"withoutER","None",332.7,140.48,58.76,24.38,556.32,""
"Control",10,"withoutER","Tamoxifen",82.58,35.75,14.41,6.38,139.12,""
"Screen",5,"withER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withER","None",177.57,0,31.49,0,209.06,""
"Screen",5,"withER","Tamoxifen",0,75.69,0,13.23,88.92,""
"Screen",5,"withERchemo","Chemo",177.57,NA,31.49,NA,209.06,""
"Screen",5,"withERchemo","None",0,0,0,0,0,""
"Screen",5,"withERchemo","Tamoxifen",0,75.69,0,13.23,88.92,""
"Screen",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withoutER","None",142.14,59.93,25.11,10.38,237.56,""
"Screen",5,"withoutER","Tamoxifen",35.43,15.76,6.38,2.85,60.42,""
"Screen",10,"withER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withER","None",415.28,0,73.17,0,488.45,""
"Screen",10,"withER","Tamoxifen",0,176.23,0,30.76,206.99,""
"Screen",10,"withERchemo","Chemo",415.28,NA,73.17,NA,488.45,""
"Screen",10,"withERchemo","None",0,0,0,0,0,""
"Screen",10,"withERchemo","Tamoxifen",0,176.23,0,30.76,206.99,""
"Screen",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withoutER","None",332.7,140.48,58.76,24.38,556.32,""
"Screen",10,"withoutER","Tamoxifen",82.58,35.75,14.41,6.38,139.12,""
