"Follow-up","Measure","SubMeasure","withoutER","withER","withERchemo","Note"
"5","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","182 (154,208)","171 (147,199)","149 (126,172)","Note: Results per 1e+05 women"
"","","Screening","182 (154,208)","171 (147,199)","149 (126,172)","Note: Results per 1e+05 women"
"","MRRs within trials","","1.00 (1.00,1.00)","1.00 (1.00,1.00)","1.00 (1.00,1.00)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.94 (0.91,0.98)","0.82 (0.76,0.86)","Note: Results per 1e+05 women"
"","","Screening","1.00 (1.00,1.00)","0.94 (0.91,0.98)","0.82 (0.76,0.86)","Note: Results per 1e+05 women"
"","ARRs within trials","","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)","10.4 ( 4.0,15.5)","33.0 (25.0,44.0)","Note: Results per 1e+05 women"
"","","Screening"," 0.0 ( 0.0, 0.0)","10.4 ( 4.0,15.5)","33.0 (25.0,44.0)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","  0.0 (  0.0,  0.0)","-19.4 (-25.6,-13.1)","-62.3 (-72.5,-48.5)","Note: Results per 1e+05 women"
"","","Screening","  0.0 (  0.0,  0.0)","-19.4 (-25.6,-13.1)","-62.3 (-72.5,-48.5)","Note: Results per 1e+05 women"
"10","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","501 (454,541)","477 (431,517)","428 (380,468)","Note: Results per 1e+05 women"
"","","Screening","501 (454,541)","477 (431,517)","428 (380,468)","Note: Results per 1e+05 women"
"","MRRs within trials","","1.00 (1.00,1.00)","1.00 (1.00,1.00)","1.00 (1.00,1.00)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.95 (0.93,0.97)","0.85 (0.82,0.89)","Note: Results per 1e+05 women"
"","","Screening","1.00 (1.00,1.00)","0.95 (0.93,0.97)","0.85 (0.82,0.89)","Note: Results per 1e+05 women"
"","ARRs within trials","","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)","23.9 (16.0,33.0)","73.6 (55.5,88.5)","Note: Results per 1e+05 women"
"","","Screening"," 0.0 ( 0.0, 0.0)","23.9 (16.0,33.0)","73.6 (55.5,88.5)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","   0.0 (   0.0,   0.0)"," -95.2 (-120.1, -73.2)","-298.6 (-333.7,-261.8)","Note: Results per 1e+05 women"
"","","Screening","   0.0 (   0.0,   0.0)"," -95.2 (-120.1, -73.2)","-298.6 (-333.7,-261.8)","Note: Results per 1e+05 women"
