"Group","Time","Trial","Treatment","Advanced_ER-","Advanced_ER+","Early_ER-","Early_ER+","Total","Note"
"Control",5,"withER","Chemo",0,NA,0,NA,0,"Numbers reflect population size of 100000 women"
"Control",5,"withER","None",350.03,0,61.93,0,411.96,""
"Control",5,"withER","Tamoxifen",0,148.42,0,27.38,175.8,""
"Control",5,"withERchemo","Chemo",350.03,NA,61.93,NA,411.96,""
"Control",5,"withERchemo","None",0,0,0,0,0,""
"Control",5,"withERchemo","Tamoxifen",0,148.42,0,27.38,175.8,""
"Control",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",5,"withoutER","None",279.67,118.85,49.98,21.94,470.44,""
"Control",5,"withoutER","Tamoxifen",70.36,29.57,11.95,5.44,117.32,""
"Control",10,"withER","Chemo",0,NA,0,NA,0,""
"Control",10,"withER","None",671.2,0,118.22,0,789.42,""
"Control",10,"withER","Tamoxifen",0,289.74,0,51.07,340.81,""
"Control",10,"withERchemo","Chemo",671.2,NA,118.22,NA,789.42,""
"Control",10,"withERchemo","None",0,0,0,0,0,""
"Control",10,"withERchemo","Tamoxifen",0,289.74,0,51.07,340.81,""
"Control",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",10,"withoutER","None",536,231.91,95.33,41.13,904.37,""
"Control",10,"withoutER","Tamoxifen",135.2,57.83,22.89,9.94,225.86,""
"Screen",5,"withER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withER","None",247.6,0,164.36,0,411.96,""
"Screen",5,"withER","Tamoxifen",0,104.3,0,71.5,175.8,""
"Screen",5,"withERchemo","Chemo",247.6,NA,164.36,NA,411.96,""
"Screen",5,"withERchemo","None",0,0,0,0,0,""
"Screen",5,"withERchemo","Tamoxifen",0,104.3,0,71.5,175.8,""
"Screen",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withoutER","None",197.63,83.66,131.89,57.4,470.58,""
"Screen",5,"withoutER","Tamoxifen",49.97,20.64,32.47,14.1,117.18,""
"Screen",10,"withER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withER","None",473.44,0,315.98,0,789.42,""
"Screen",10,"withER","Tamoxifen",0,204,0,136.81,340.81,""
"Screen",10,"withERchemo","Chemo",473.44,NA,315.98,NA,789.42,""
"Screen",10,"withERchemo","None",0,0,0,0,0,""
"Screen",10,"withERchemo","Tamoxifen",0,204,0,136.81,340.81,""
"Screen",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withoutER","None",377.79,163.46,253.54,109.72,904.51,""
"Screen",10,"withoutER","Tamoxifen",95.65,40.54,62.44,27.09,225.72,""
