"Follow-up","Measure","SubMeasure","withoutER","withER","withERchemo","Note"
"5","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","60 (48,74)","57 (45,68)","50 (38,61)","Note: Results per 1e+05 women"
"","","Screening","36 (23,47)","34 (22,43)","29 (18,37)","Note: Results per 1e+05 women"
"","MRRs within trials","","0.59 (0.45,0.71)","0.59 (0.46,0.71)","0.58 (0.43,0.72)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.94 (0.88,0.98)","0.82 (0.74,0.89)","Note: Results per 1e+05 women"
"","","Screening","0.59 (0.45,0.71)","0.56 (0.42,0.68)","0.48 (0.35,0.59)","Note: Results per 1e+05 women"
"","ARRs within trials","","24.8 (16.5,33.5)","23.1 (16.0,31.5)","20.7 (13.5,30.0)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 (0.0, 0.0)"," 3.7 (1.0, 7.0)","10.8 (7.0,16.5)","Note: Results per 1e+05 women"
"","","Screening","24.8 (16.5,33.5)","26.8 (18.0,35.0)","31.5 (22.0,41.0)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","  0.0 (  0.0,  0.0)"," -6.6 (-10.7, -3.0)","-20.5 (-27.2,-14.4)","Note: Results per 1e+05 women"
"","","Screening","-44.1 (-63.1,-26.8)","-48.1 (-67.7,-30.8)","-56.8 (-78.6,-39.4)","Note: Results per 1e+05 women"
"10","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","188 (164,211)","179 (157,201)","161 (139,184)","Note: Results per 1e+05 women"
"","","Screening","117 (99,133)","111 (94,128)"," 98 (82,115)","Note: Results per 1e+05 women"
"","MRRs within trials","","0.62 (0.56,0.69)","0.62 (0.56,0.69)","0.61 (0.54,0.69)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.95 (0.92,0.98)","0.85 (0.81,0.90)","Note: Results per 1e+05 women"
"","","Screening","0.62 (0.56,0.69)","0.59 (0.53,0.66)","0.52 (0.46,0.59)","Note: Results per 1e+05 women"
"","ARRs within trials","","71.2 (54.9,88.0)","68.1 (51.0,82.0)","63.2 (46.4,78.5)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)"," 9.3 ( 3.5,16.0)","27.4 (18.5,36.0)","Note: Results per 1e+05 women"
"","","Screening","71.2 (54.9, 88.0)","77.4 (61.0, 94.5)","90.6 (70.9,108.0)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","   0.0 (   0.0,  0.0)"," -36.4 ( -51.0,-25.5)","-110.8 (-132.3,-92.5)","Note: Results per 1e+05 women"
"","","Screening","-263.5 (-320.2,-206.2)","-287.5 (-345.2,-229.3)","-337.4 (-405.1,-275.8)","Note: Results per 1e+05 women"
