"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"withoutER",50,4.80723386586911,2.84365742088942,NA,NA
"withoutER",55,24.331006316944,14.9664800059165,NA,NA
"withoutER",60,51.0683004606807,32.9510948354563,NA,NA
"withoutER",65,81.1092429979237,55.0282431354796,NA,NA
"withoutER",70,89.2133303656067,65.680644502934,NA,NA
"withoutER",75,59.7442723645133,52.7950772196715,NA,NA
"withoutER",80,40.998910691774,42.9257356810169,NA,NA
"withoutER",85,32.1662037027038,37.3762100124499,NA,NA
"withoutER",90,15.0840004065694,26.3987745215704,NA,NA
"withoutER",95,7.87428272744509,18.8640769277004,NA,NA
"withoutER",100,4.4240935019908,14.4936049339676,NA,NA
"withoutER",105,3.19438859423519,11.937115257619,NA,NA
"withoutER",110,2.33422097692756,9.07849608354936,NA,NA
"withoutER",115,1.87040482402007,7.28067661080924,NA,NA
"withoutER",120,NA,NA,NA,NA
"withoutER",125,NA,NA,NA,NA
"withER",50,4.52785993434085,2.65875551817224,NA,NA
"withER",55,23.0546798417904,14.145673309419,NA,NA
"withER",60,49.111129834982,31.3336160604366,NA,NA
"withER",65,78.4272059383326,52.5874037170022,NA,NA
"withER",70,87.4203897442262,63.3999335738019,NA,NA
"withER",75,60.4802534255664,52.0241788977471,NA,NA
"withER",80,41.6256930374256,41.9304659457399,NA,NA
"withER",85,32.8031605645619,37.2706376581556,NA,NA
"withER",90,16.4991757287785,26.3179915128107,NA,NA
"withER",95,9.0950507089295,19.4969828936567,NA,NA
"withER",100,5.03381441181526,15.2455096002569,NA,NA
"withER",105,3.4962790333452,12.071645963644,NA,NA
"withER",110,2.57768781417447,9.74469606330243,NA,NA
"withER",115,2.04014739825506,8.1971066376552,NA,NA
"withER",120,NA,NA,NA,NA
"withER",125,NA,NA,NA,NA
"withERchemo",50,3.96309720787223,2.30705681268082,NA,NA
"withERchemo",55,20.5765325101655,12.3739383171022,NA,NA
"withERchemo",60,44.4843280136057,27.9130218376271,NA,NA
"withERchemo",65,72.764020253474,47.5343246094422,NA,NA
"withERchemo",70,84.74828996627,58.6955685843616,NA,NA
"withERchemo",75,61.1512486327879,49.7361152840331,NA,NA
"withERchemo",80,44.4894934819917,41.054039545018,NA,NA
"withERchemo",85,34.2856326490068,36.2890167795924,NA,NA
"withERchemo",90,19.00891674357,25.9974969470113,NA,NA
"withERchemo",95,11.2233882061974,21.2565481763795,NA,NA
"withERchemo",100,6.31498488246418,16.6508659246786,NA,NA
"withERchemo",105,4.12124676641107,12.8056440486231,NA,NA
"withERchemo",110,2.8932227059734,10.7712853701893,NA,NA
"withERchemo",115,2.36318545422952,9.37348772668994,NA,NA
"withERchemo",120,NA,NA,NA,NA
"withERchemo",125,NA,NA,NA,NA
"Historical",50,NA,NA,19.4981186266357,0.09702
"Historical",55,NA,NA,54.0120812178242,0.337118717752982
"Historical",60,NA,NA,91.0586039305797,0.650050423697791
"Historical",65,NA,NA,119.901060621578,0.951582088717764
"Historical",70,NA,NA,72.6020444204188,0.902284686355287
"Historical",75,NA,NA,30.6120369251984,0.618688867852007
"Historical",80,NA,NA,29.9696724672713,0.509099095768771
"Historical",85,NA,NA,12.9867124690521,0.36982814646665
"Historical",90,NA,NA,0,0.209478647025019
"Historical",95,NA,NA,0,0.134192762695833
"Historical",100,NA,NA,0,0.0948682690200596
"Historical",105,NA,NA,0,0.0727669983356969
"Historical",110,NA,NA,0,0.056805505165303
"Historical",115,NA,NA,0,0.0451406059917137
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
