"Group","Time","Trial","Treatment","Advanced_ER-","Advanced_ER+","Early_ER-","Early_ER+","Total","Note"
"Control",5,"withER","Chemo",0,NA,0,NA,0,"Numbers reflect population size of 100000 women"
"Control",5,"withER","None",350.03,0,61.93,0,411.96,""
"Control",5,"withER","Tamoxifen",0,148.42,0,27.38,175.8,""
"Control",5,"withERchemo","Chemo",350.03,NA,61.93,NA,411.96,""
"Control",5,"withERchemo","None",0,0,0,0,0,""
"Control",5,"withERchemo","Tamoxifen",0,148.42,0,27.38,175.8,""
"Control",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",5,"withoutER","None",279.67,118.85,49.98,21.94,470.44,""
"Control",5,"withoutER","Tamoxifen",70.36,29.57,11.95,5.44,117.32,""
"Control",10,"withER","Chemo",0,NA,0,NA,0,""
"Control",10,"withER","None",671.2,0,118.22,0,789.42,""
"Control",10,"withER","Tamoxifen",0,289.74,0,51.07,340.81,""
"Control",10,"withERchemo","Chemo",671.2,NA,118.22,NA,789.42,""
"Control",10,"withERchemo","None",0,0,0,0,0,""
"Control",10,"withERchemo","Tamoxifen",0,289.74,0,51.07,340.81,""
"Control",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",10,"withoutER","None",536,231.91,95.33,41.13,904.37,""
"Control",10,"withoutER","Tamoxifen",135.2,57.83,22.89,9.94,225.86,""
"Screen",5,"withER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withER","None",144.05,0,267.91,0,411.96,""
"Screen",5,"withER","Tamoxifen",0,61.61,0,114.19,175.8,""
"Screen",5,"withERchemo","Chemo",144.05,NA,267.91,NA,411.96,""
"Screen",5,"withERchemo","None",0,0,0,0,0,""
"Screen",5,"withERchemo","Tamoxifen",0,61.61,0,114.19,175.8,""
"Screen",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withoutER","None",115.26,49.32,214.14,91.51,470.23,""
"Screen",5,"withoutER","Tamoxifen",28.79,12.29,53.77,22.68,117.53,""
"Screen",10,"withER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withER","None",276.89,0,512.53,0,789.42,""
"Screen",10,"withER","Tamoxifen",0,119.86,0,220.95,340.81,""
"Screen",10,"withERchemo","Chemo",276.89,NA,512.53,NA,789.42,""
"Screen",10,"withERchemo","None",0,0,0,0,0,""
"Screen",10,"withERchemo","Tamoxifen",0,119.86,0,220.95,340.81,""
"Screen",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withoutER","None",221.13,95.98,410.17,176.92,904.2,""
"Screen",10,"withoutER","Tamoxifen",55.76,23.88,102.36,44.03,226.03,""
