"Follow-up","Measure","SubMeasure","withoutER","withER","withERchemo","Note"
"5","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","181 (155,207)","170 (147,197)","149 (126,175)","Note: Results per 1e+05 women"
"","","Screening","108 (88,129)","101 (82,122)"," 88 (69,110)","Note: Results per 1e+05 women"
"","MRRs within trials","","0.59 (0.53,0.66)","0.59 (0.52,0.66)","0.59 (0.51,0.67)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.94 (0.91,0.97)","0.82 (0.78,0.88)","Note: Results per 1e+05 women"
"","","Screening","0.59 (0.53,0.66)","0.56 (0.49,0.62)","0.48 (0.41,0.55)","Note: Results per 1e+05 women"
"","ARRs within trials","","73.4 (59.0,89.6)","69.4 (56.4,84.5)","61.4 (46.5,75.5)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)","10.5 ( 5.0,18.0)","31.7 (22.0,41.5)","Note: Results per 1e+05 women"
"","","Screening","73.4 (59.0, 89.6)","79.9 (64.5, 96.6)","93.1 (76.5,109.5)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","  0.0 (  0.0,  0.0)","-19.2 (-26.7,-13.8)","-61.4 (-74.8,-51.3)","Note: Results per 1e+05 women"
"","","Screening","-133.4 (-160.0,-104.0)","-145.9 (-175.1,-114.8)","-171.5 (-202.0,-138.6)","Note: Results per 1e+05 women"
"10","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","503 (454,547)","480 (431,524)","431 (385,472)","Note: Results per 1e+05 women"
"","","Screening","316 (276,355)","300 (262,337)","263 (229,298)","Note: Results per 1e+05 women"
"","MRRs within trials","","0.63 (0.58,0.67)","0.62 (0.58,0.67)","0.61 (0.57,0.66)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.96 (0.94,0.97)","0.86 (0.83,0.88)","Note: Results per 1e+05 women"
"","","Screening","0.63 (0.58,0.67)","0.60 (0.55,0.64)","0.52 (0.48,0.57)","Note: Results per 1e+05 women"
"","ARRs within trials","","186.7 (162.0,218.0)","180.2 (155.9,209.1)","168.1 (145.5,193.0)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)","22.6 (15.0,31.0)","71.2 (55.4,88.0)","Note: Results per 1e+05 women"
"","","Screening","186.7 (162.0,218.0)","202.8 (175.5,234.5)","239.3 (212.9,273.0)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","   0.0 (   0.0,   0.0)"," -96.9 (-120.6, -75.4)","-300.9 (-344.7,-261.5)","Note: Results per 1e+05 women"
"","","Screening","-721.4 ( -857.1,-617.6)","-785.6 ( -929.5,-680.7)","-923.2 (-1068.6,-810.2)","Note: Results per 1e+05 women"
