"Follow-up","Measure","SubMeasure","withoutER","withER","withERchemo","withERchemoERpos","Note"
"5","Cumulative breast cancer mortality","","","","","","Note: Results per 1e+05 women"
"","","No screening","86 (78,93)","78 (72,85)","70 (66,74)","66 (61,70)","Note: Results per 1e+05 women"
"","","Screening","70 (63,76)","65 (59,71)","58 (55,61)","56 (53,59)","Note: Results per 1e+05 women"
"","MRRs within trials","","0.81 (0.81,0.82)","0.83 (0.82,0.83)","0.83 (0.82,0.83)","0.86 (0.84,0.87)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.92 (0.91,0.92)","0.82 (0.80,0.84)","0.77 (0.75,0.78)","Note: Results per 1e+05 women"
"","","Screening","0.81 (0.81,0.82)","0.76 (0.76,0.76)","0.68 (0.66,0.70)","0.66 (0.64,0.68)","Note: Results per 1e+05 women"
"","ARRs within trials","","16.0 (15.1,17.0)","13.5 (13.0,14.0)","12.0 (11.1,12.9)"," 9.5 ( 8.1,10.9)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)"," 7.0 ( 6.0, 8.0)","15.5 (12.2,18.8)","20.0 (17.2,22.8)","Note: Results per 1e+05 women"
"","","Screening","16.0 (15.1,17.0)","20.5 (19.1,21.9)","27.5 (23.2,31.8)","29.5 (25.2,33.8)","Note: Results per 1e+05 women"
"","Years lived","No screening","487295 (487240,487350)","487309 (487255,487362)","487325 (487275,487375)","487334 (487284,487383)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","","Note: Results per 1e+05 women"
"","","No screening","  0.0 (  0.0,  0.0)","-13.7 (-15.2,-12.1)","-29.8 (-34.4,-25.2)","-38.5 (-43.7,-33.3)","Note: Results per 1e+05 women"
"","","Screening","-30.7 (-30.7,-30.7)","-41.9 (-42.2,-41.6)","-55.8 (-58.7,-52.9)","-62.6 (-65.6,-59.6)","Note: Results per 1e+05 women"
"10","Cumulative breast cancer mortality","","","","","","Note: Results per 1e+05 women"
"","","No screening","311 (310,312)","286 (279,293)","263 (256,270)","240 (232,249)","Note: Results per 1e+05 women"
"","","Screening","252 (249,254)","230 (222,238)","210 (201,220)","194 (185,204)","Note: Results per 1e+05 women"
"","MRRs within trials","","0.81 (0.80,0.82)","0.80 (0.80,0.81)","0.80 (0.79,0.81)","0.81 (0.79,0.82)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.92 (0.90,0.94)","0.85 (0.82,0.87)","0.77 (0.75,0.80)","Note: Results per 1e+05 women"
"","","Screening","0.81 (0.80,0.82)","0.74 (0.71,0.77)","0.68 (0.65,0.71)","0.63 (0.59,0.66)","Note: Results per 1e+05 women"
"","ARRs within trials","","59.5 (56.2,62.8)","56.0 (55.0,56.9)","52.5 (50.1,54.9)","46.0 (44.1,47.9)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)","25.0 (17.4,32.6)","48.0 (40.4,55.6)","70.5 (61.5,79.5)","Note: Results per 1e+05 women"
"","","Screening"," 59.5 ( 56.2, 62.8)"," 81.0 ( 72.4, 89.5)","100.5 ( 90.5,110.5)","116.5 (105.6,127.4)","Note: Results per 1e+05 women"
"","Years lived","No screening","947298 (946986,947611)","947395 (947079,947711)","947484 (947168,947799)","947554 (947248,947861)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","","Note: Results per 1e+05 women"
"","","No screening","   0.0 (   0.0,   0.0)"," -96.9 (-100.1, -93.7)","-185.6 (-188.5,-182.7)","-256.0 (-262.0,-250.0)","Note: Results per 1e+05 women"
"","","Screening","-215.6 (-223.9,-207.3)","-288.2 (-296.2,-280.2)","-363.0 (-370.2,-355.7)","-408.4 (-412.2,-404.6)","Note: Results per 1e+05 women"
