"","V1"
"version","tza_4_chemo1cages30-49"
"country","Tanzania"
"data_stage","Catherine lit search approx"
"data_surv","CT for early, Galukande 2015 for advanced"
"data_treat","EBCTCG trials"
"data_other","ER dist from Catherine"
"design","four trials: withoutER, withER, withERchemo, withERchemoERpos"
"stages","early and advanced"
"stageshift","From 85% to 35% advanced"
"prognostic_factors","ER is 50%"
"treatments","None, Tamoxifen, Chemo, Tam+Chemo"
"efficacies","from EBCTCG"
"life_table","IHME"
"other","like _3cages30-49, but 50% ERpos and a 4th trial"
