"Time","Trial","variable","value","Note"
"10","withER","Control",59,"Out of 100 incident cases, number surviving"
"10","withERchemo","Control",62,""
"10","withERchemoERpos","Control",65,""
"10","withoutER","Control",56,""
"5","withER","Control",73,""
"5","withERchemo","Control",76,""
"5","withERchemoERpos","Control",78,""
"5","withoutER","Control",70,""
"10","withER","Screen",75,""
"10","withERchemo","Screen",77,""
"10","withERchemoERpos","Screen",78,""
"10","withoutER","Screen",73,""
"5","withER","Screen",84,""
"5","withERchemo","Screen",86,""
"5","withERchemoERpos","Screen",87,""
"5","withoutER","Screen",82,""
