"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0097,"(0.0097,0.0098)",0.0097
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0089,"(0.0088,0.0089)",0.0089
"Y1977","Effect of screening, same treatment",25,"MRR",0.9175,"(0.909,0.9131)",0.911
"Y1977","Effect of screening, same treatment",25,"ARR",8e-04,"(9e-04,9e-04)",9e-04
"Y1977","Effect of screening, same treatment",25,"NNS",1250,"(1137.3663,1175.4679)",1156.4171
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0085,"(0.0084,0.0086)",0.0085
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0078,"(0.0077,0.0079)",0.0078
"Y1999","Effect of screening, same treatment",25,"MRR",0.9176,"(0.9108,0.914)",0.9124
"Y1999","Effect of screening, same treatment",25,"ARR",7e-04,"(7e-04,7e-04)",7e-04
"Y1999","Effect of screening, same treatment",25,"NNS",1428.5714,"(1333.7838,1350.9009)",1342.3423
"Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0076,"(0.0076,0.0077)",0.0076
"Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.007,"(0.007,0.007)",0.007
"Y2015","Effect of screening, same treatment",25,"MRR",0.9211,"(0.9053,0.9143)",0.9098
"Y2015","Effect of screening, same treatment",25,"ARR",6e-04,"(7e-04,7e-04)",7e-04
"Y2015","Effect of screening, same treatment",25,"NNS",1666.6667,"(1374.078,1534.2466)",1454.1623
"Y1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0097,"(0.0097,0.0098)",0.0097
"Y1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0085,"(0.0084,0.0086)",0.0085
"Y1999","Effect of treatment, without screening",25,"MRR",0.8763,"(0.8698,0.8792)",0.8745
"Y1999","Effect of treatment, without screening",25,"ARR",0.0012,"(0.0012,0.0013)",0.0012
"Y1999","Effect of treatment, without screening",25,"NNS",833.3333,"(794.996,846.1125)",820.5542
"Y1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0089,"(0.0088,0.0089)",0.0089
"Y1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0078,"(0.0077,0.0079)",0.0078
"Y1999","Effect of treatment, with screening",25,"MRR",0.8764,"(0.8715,0.8801)",0.8758
"Y1999","Effect of treatment, with screening",25,"ARR",0.0011,"(0.0011,0.0011)",0.0011
"Y1999","Effect of treatment, with screening",25,"NNS",909.0909,"(886.1963,933.3388)",909.7676
"Y2015","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0097,"(0.0097,0.0098)",0.0097
"Y2015","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0076,"(0.0076,0.0077)",0.0076
"Y2015","Effect of treatment, without screening",25,"MRR",0.7835,"(0.7778,0.7956)",0.7867
"Y2015","Effect of treatment, without screening",25,"ARR",0.0021,"(0.002,0.0022)",0.0021
"Y2015","Effect of treatment, without screening",25,"NNS",476.1905,"(459.9381,506.3917)",483.1649
"Y2015","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0089,"(0.0088,0.0089)",0.0089
"Y2015","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.007,"(0.007,0.007)",0.007
"Y2015","Effect of treatment, with screening",25,"MRR",0.7865,"(0.7789,0.7924)",0.7856
"Y2015","Effect of treatment, with screening",25,"ARR",0.0019,"(0.0018,0.002)",0.0019
"Y2015","Effect of treatment, with screening",25,"NNS",526.3158,"(506.1605,548.3405)",527.2505
