"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"Y1977","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0027,"(0.0026,0.0029)",0.0027
"Y1977","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0024,"(0.0023,0.0026)",0.0024
"Y1977","Effect of screening, same treatment",10,"MRR",0.8889,"(0.899,0.9023)",0.9006
"Y1977","Effect of screening, same treatment",10,"ARR",3e-04,"(3e-04,3e-04)",3e-04
"Y1977","Effect of screening, same treatment",10,"NNS",3333.3333,"(3462.069,3986.2069)",3724.1379
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0097,"(0.0097,0.0098)",0.0097
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0089,"(0.0088,0.0089)",0.0089
"Y1977","Effect of screening, same treatment",25,"MRR",0.9175,"(0.909,0.9131)",0.911
"Y1977","Effect of screening, same treatment",25,"ARR",8e-04,"(9e-04,9e-04)",9e-04
"Y1977","Effect of screening, same treatment",25,"NNS",1250,"(1137.3663,1175.4679)",1156.4171
"Y1999","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0023,"(0.0022,0.0024)",0.0023
"Y1999","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.002,"(0.002,0.0021)",0.002
"Y1999","Effect of screening, same treatment",10,"MRR",0.8696,"(0.8957,0.9071)",0.9014
"Y1999","Effect of screening, same treatment",10,"ARR",3e-04,"(2e-04,2e-04)",2e-04
"Y1999","Effect of screening, same treatment",10,"NNS",3333.3333,"(4025,4975)",4500
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0085,"(0.0084,0.0086)",0.0085
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0078,"(0.0077,0.0079)",0.0078
"Y1999","Effect of screening, same treatment",25,"MRR",0.9176,"(0.9108,0.914)",0.9124
