"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Y1977",50,30.3021897723106,30.3021897723106,NA,NA
"Y1977",55,72.9556684111471,62.5687867684206,NA,NA
"Y1977",60,152.509309834717,119.707403799439,NA,NA
"Y1977",65,163.400424466851,186.39364296611,NA,NA
"Y1977",70,103.83609057505,90.5898451874418,NA,NA
"Y1977",75,241.558072180551,255.98483319803,NA,NA
"Y1977",80,174.636049650261,175.553301959294,NA,NA
"Y1977",85,169.097805965211,166.323147097539,NA,NA
"Y1977",90,288.185779617305,194.605869585448,NA,NA
"Y1977",95,121.02224436341,121.02224436341,NA,NA
"Y1977",100,0,0,NA,NA
"Y1977",105,0,0,NA,NA
"Y1977",110,NA,NA,NA,NA
"Y1977",115,NA,NA,NA,NA
"Y1999",50,20.1933705950052,20.1933705950052,NA,NA
"Y1999",55,62.523935687341,62.523935687341,NA,NA
"Y1999",60,141.348326165327,97.8106171763117,NA,NA
"Y1999",65,116.8093359706,139.807931539399,NA,NA
"Y1999",70,128.807288722295,128.64154528082,NA,NA
"Y1999",75,151.165578666479,135.627799617085,NA,NA
"Y1999",80,229.179665934671,210.194501927794,NA,NA
"Y1999",85,196.788834777152,193.711202312602,NA,NA
"Y1999",90,146.897069693511,146.625860108594,NA,NA
"Y1999",95,98.5194156242702,98.5194156242702,NA,NA
"Y1999",100,306.241578716097,306.241578716097,NA,NA
"Y1999",105,0,0,NA,NA
"Y1999",110,NA,NA,NA,NA
"Y1999",115,NA,NA,NA,NA
"Y2015",50,10.0891878234845,10.0891878234845,NA,NA
"Y2015",55,52.0138825456732,52.0138825456732,NA,NA
"Y2015",60,119.460207695649,86.9374626222856,NA,NA
"Y2015",65,81.3125370478249,81.1765169802369,NA,NA
"Y2015",70,115.234084468365,115.007121868789,NA,NA
"Y2015",75,180.471273269957,180.135284324449,NA,NA
"Y2015",80,174.014097906093,153.911129654764,NA,NA
"Y2015",85,135.236571092434,160.771380394802,NA,NA
"Y2015",90,45.268844458629,45.268844458629,NA,NA
"Y2015",95,97.9856071030153,97.9856071030153,NA,NA
"Y2015",100,0,0,NA,NA
"Y2015",105,2247.64105000405,2247.64105000405,NA,NA
"Y2015",110,NA,NA,NA,NA
"Y2015",115,NA,NA,NA,NA
"Historical",50,NA,NA,201.974201129904,1
"Historical",55,NA,NA,260.56327296439,2.14776425717969
"Historical",60,NA,NA,348.3250028676,3.5077020373131
"Historical",65,NA,NA,280.532452876629,4.14926819714611
"Historical",70,NA,NA,310.334588335472,4.90683229813665
"Historical",75,NA,NA,196.046662876722,5.21037696846694
"Historical",80,NA,NA,385.24592430065,5.95166222804008
"Historical",85,NA,NA,219.80237867342,6.27185314685315
"Historical",90,NA,NA,0,5.74330385749071
"Historical",95,NA,NA,0,5.72592969943963
"Historical",100,NA,NA,0,5.26315789473684
"Historical",105,NA,NA,0,13.6363636363636
"Historical",110,NA,NA,NA,NA
"Historical",115,NA,NA,NA,NA
