"Follow-up","Measure","SubMeasure","Y1977","Y1999","Y2015"
"10","Cumulative breast cancer mortality","","","",""
"","","No screening","50 (40,60)","40 (21,59)","30 (20,40)"
"","","Screening","45 (31,59)","40 (21,59)","30 (20,40)"
"","MRRs within trials","","0.88 (0.76,0.99)","1.00 (1.00,1.00)","1.00 (1.00,1.00)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.75 (0.51,0.99)","0.58 (0.50,0.66)"
"","","Screening","0.88 (0.76,0.99)","0.75 (0.51,0.99)","0.58 (0.50,0.66)"
"","ARRs within trials","","5.0 (0.2,9.8)","0.0 (0.0,0.0)","0.0 (0.0,0.0)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","10.0 ( 0.5,19.5)","20.0 (20.0,20.0)"
"","","Screening"," 5.0 ( 0.2, 9.8)","10.0 ( 0.5,19.5)","20.0 (20.0,20.0)"
"25","Cumulative breast cancer mortality","","","",""
"","","No screening","230 (182,278)","205 (153,257)","165 (132,198)"
"","","Screening","215 (172,258)","195 (143,247)","150 (112,188)"
"","MRRs within trials","","0.94 (0.93,0.94)","0.95 (0.93,0.96)","0.90 (0.85,0.95)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.88 (0.84,0.93)","0.72 (0.71,0.72)"
"","","Screening","0.94 (0.93,0.94)","0.84 (0.78,0.89)","0.64 (0.61,0.68)"
"","ARRs within trials","","15.0 (10.2,19.8)","10.0 (10.0,10.0)","15.0 (10.2,19.8)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","25.0 (20.2,29.8)","65.0 (50.8,79.2)"
"","","Screening","15.0 (10.2,19.8)","35.0 (30.2,39.8)","80.0 (70.5,89.5)"
