"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Y1977",50,65.4787665099195,56.6795127949632,NA,NA
"Y1977",55,147.627227826269,129.725821843052,NA,NA
"Y1977",60,193.260474432473,172.647913705262,NA,NA
"Y1977",65,234.370258303488,208.688316253438,NA,NA
"Y1977",70,258.654682291696,231.204604998198,NA,NA
"Y1977",75,292.167220573732,263.146783624815,NA,NA
"Y1977",80,304.570797190303,279.51490340678,NA,NA
"Y1977",85,289.926513462563,266.893886423752,NA,NA
"Y1977",90,138.025027957696,139.960815640568,NA,NA
"Y1977",95,51.705778011009,59.4672443680649,NA,NA
"Y1977",100,25.5571098326349,43.1585031022538,NA,NA
"Y1977",105,36.2853434949423,36.0456176260186,NA,NA
"Y1977",110,0,28.6474476781821,NA,NA
"Y1977",115,0,0,NA,NA
"Y1977",120,NA,NA,NA,NA
"Y1977",125,NA,NA,NA,NA
"Y1999",50,50.7517508271274,43.7767420289462,NA,NA
"Y1999",55,123.78880280535,108.259628886667,NA,NA
"Y1999",60,170.940374147015,152.182324493827,NA,NA
"Y1999",65,213.943412614378,190.529410158879,NA,NA
"Y1999",70,242.492181125168,214.87422162624,NA,NA
"Y1999",75,272.717457288052,245.044136913284,NA,NA
"Y1999",80,291.915227588342,264.154688322632,NA,NA
"Y1999",85,288.278736092366,260.972587000088,NA,NA
"Y1999",90,166.19737418798,157.452963075673,NA,NA
"Y1999",95,91.2528434149903,98.050540464628,NA,NA
"Y1999",100,43.4181960992058,51.4614005970201,NA,NA
"Y1999",105,51.6225237682898,51.1637459093128,NA,NA
"Y1999",110,31.5602841485181,58.6687114171157,NA,NA
"Y1999",115,0,0,NA,NA
"Y1999",120,NA,NA,NA,NA
"Y1999",125,NA,NA,NA,NA
"Y2015",50,40.7836965006209,35.0641466696919,NA,NA
"Y2015",55,104.612818603655,90.8260359335247,NA,NA
"Y2015",60,148.720447256373,130.488967053979,NA,NA
"Y2015",65,193.536628076927,171.240273523036,NA,NA
"Y2015",70,224.51937533476,196.126330198787,NA,NA
"Y2015",75,255.87019114445,226.884566454354,NA,NA
"Y2015",80,275.050435447971,245.750229160274,NA,NA
"Y2015",85,280.1767735877,248.442197754837,NA,NA
"Y2015",90,176.856472306986,161.125922807259,NA,NA
"Y2015",95,118.807762228726,110.947661517668,NA,NA
"Y2015",100,66.8458827539445,73.7165215853603,NA,NA
"Y2015",105,48.6075956900688,56.4914547802178,NA,NA
"Y2015",110,63.4080168265541,63.2667667719334,NA,NA
"Y2015",115,0,0,NA,NA
"Y2015",120,NA,NA,NA,NA
"Y2015",125,NA,NA,NA,NA
"Historical",50,NA,NA,199.345457634944,0.9864
"Historical",55,NA,NA,223.033361852799,1.765255264881
"Historical",60,NA,NA,257.057502362509,2.30479284068402
"Historical",65,NA,NA,283.335888825017,2.74069014705401
"Historical",70,NA,NA,308.12819930796,3.10211025358686
"Historical",75,NA,NA,327.301765389747,3.41397635167338
"Historical",80,NA,NA,348.284625570787,3.64815462610187
"Historical",85,NA,NA,170.235091770854,3.06895381609552
"Historical",90,NA,NA,0,1.71395928741857
"Historical",95,NA,NA,0,1.04432449150543
"Historical",100,NA,NA,0,0.807625210767668
"Historical",105,NA,NA,0,0.684849909138899
"Historical",110,NA,NA,0,0.390810857128683
"Historical",115,NA,NA,0,0
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
