"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"Y1977","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0103,"(0.0097,0.0108)",0.0103
"Y1977","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.009,"(0.0085,0.0095)",0.009
"Y1977","Effect of screening, same treatment",10,"MRR",0.8738,"(0.8652,0.8857)",0.8751
"Y1977","Effect of screening, same treatment",10,"ARR",0.0013,"(0.0011,0.0014)",0.0013
"Y1977","Effect of screening, same treatment",10,"NNS",769.2308,"(715.4419,871.7911)",779.3583
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0388,"(0.0381,0.0395)",0.0388
"Y1977","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0345,"(0.034,0.0351)",0.0345
"Y1977","Effect of screening, same treatment",25,"MRR",0.8892,"(0.8792,0.8978)",0.89
"Y1977","Effect of screening, same treatment",25,"ARR",0.0043,"(0.004,0.0047)",0.0043
"Y1977","Effect of screening, same treatment",25,"NNS",232.5581,"(210.9302,252.3936)",235.0527
"Y1999","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0085,"(0.0081,0.0089)",0.0085
"Y1999","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0074,"(0.0071,0.0078)",0.0074
"Y1999","Effect of screening, same treatment",10,"MRR",0.8706,"(0.861,0.8827)",0.8714
"Y1999","Effect of screening, same treatment",10,"ARR",0.0011,"(0.001,0.0012)",0.0011
"Y1999","Effect of screening, same treatment",10,"NNS",909.0909,"(858.0453,1038.5618)",923.5205
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0345,"(0.034,0.0351)",0.0345
"Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0306,"(0.0302,0.0309)",0.0306
"Y1999","Effect of screening, same treatment",25,"MRR",0.887,"(0.879,0.8937)",0.8865
"Y1999","Effect of screening, same treatment",25,"ARR",0.0039,"(0.0037,0.0042)",0.0039
"Y1999","Effect of screening, same treatment",25,"NNS",256.4103,"(235.5542,273.7229)",255.8489
"Y2015","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.007,"(0.0067,0.0076)",0.007
"Y2015","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0061,"(0.0058,0.0066)",0.0061
"Y2015","Effect of screening, same treatment",10,"MRR",0.8714,"(0.8535,0.8771)",0.8661
"Y2015","Effect of screening, same treatment",10,"ARR",9e-04,"(8e-04,0.001)",9e-04
"Y2015","Effect of screening, same treatment",10,"NNS",1111.1111,"(984.8039,1198.4408)",1065.4645
"Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0306,"(0.0302,0.0312)",0.0306
"Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0269,"(0.0265,0.0274)",0.0269
"Y2015","Effect of screening, same treatment",25,"MRR",0.8791,"(0.8681,0.8868)",0.8775
"Y2015","Effect of screening, same treatment",25,"ARR",0.0037,"(0.0035,0.0041)",0.0038
"Y2015","Effect of screening, same treatment",25,"NNS",270.2703,"(246.201,288.197)",267.2759
"Y1999","Effect of treatment, without screening",10,"Cumulative Incidence, Group 0",0.0103,"(0.0097,0.0108)",0.0103
"Y1999","Effect of treatment, without screening",10,"Cumulative Incidence, Group 1",0.0085,"(0.0081,0.0089)",0.0085
"Y1999","Effect of treatment, without screening",10,"MRR",0.8252,"(0.7984,0.8445)",0.8197
"Y1999","Effect of treatment, without screening",10,"ARR",0.0018,"(0.0015,0.0021)",0.0019
"Y1999","Effect of treatment, without screening",10,"NNS",555.5556,"(469.6337,657.2687)",542.3707
"Y1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0388,"(0.0381,0.0395)",0.0388
"Y1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0345,"(0.034,0.0351)",0.0345
"Y1999","Effect of treatment, without screening",25,"MRR",0.8892,"(0.883,0.8969)",0.8902
"Y1999","Effect of treatment, without screening",25,"ARR",0.0043,"(0.004,0.0046)",0.0043
"Y1999","Effect of treatment, without screening",25,"NNS",232.5581,"(217.4979,251.6051)",235.5349
"Y1999","Effect of treatment, with screening",10,"Cumulative Incidence, Group 0",0.009,"(0.0085,0.0095)",0.009
"Y1999","Effect of treatment, with screening",10,"Cumulative Incidence, Group 1",0.0074,"(0.0071,0.0078)",0.0074
"Y1999","Effect of treatment, with screening",10,"MRR",0.8222,"(0.7955,0.8397)",0.8162
"Y1999","Effect of treatment, with screening",10,"ARR",0.0016,"(0.0014,0.0019)",0.0017
"Y1999","Effect of treatment, with screening",10,"NNS",625,"(526.5544,732.2825)",607.5204
"Y1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0345,"(0.034,0.0351)",0.0345
"Y1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0306,"(0.0302,0.0309)",0.0306
"Y1999","Effect of treatment, with screening",25,"MRR",0.887,"(0.8756,0.8935)",0.8868
"Y1999","Effect of treatment, with screening",25,"ARR",0.0039,"(0.0037,0.0044)",0.0039
"Y1999","Effect of treatment, with screening",25,"NNS",256.4103,"(229.1811,272.4796)",256.8515
"Y2015","Effect of treatment, without screening",10,"Cumulative Incidence, Group 0",0.0103,"(0.0097,0.0108)",0.0103
"Y2015","Effect of treatment, without screening",10,"Cumulative Incidence, Group 1",0.007,"(0.0067,0.0076)",0.007
"Y2015","Effect of treatment, without screening",10,"MRR",0.6796,"(0.6585,0.7104)",0.6829
"Y2015","Effect of treatment, without screening",10,"ARR",0.0033,"(0.0029,0.0036)",0.0033
"Y2015","Effect of treatment, without screening",10,"NNS",303.0303,"(277.9264,349.9795)",306.9969
"Y2015","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0388,"(0.0381,0.0395)",0.0388
"Y2015","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0306,"(0.0302,0.0312)",0.0306
"Y2015","Effect of treatment, without screening",25,"MRR",0.7887,"(0.7798,0.8029)",0.7897
"Y2015","Effect of treatment, without screening",25,"ARR",0.0082,"(0.0076,0.0087)",0.0082
"Y2015","Effect of treatment, without screening",25,"NNS",121.9512,"(115.092,131.4708)",122.8524
"Y2015","Effect of treatment, with screening",10,"Cumulative Incidence, Group 0",0.009,"(0.0085,0.0095)",0.009
"Y2015","Effect of treatment, with screening",10,"Cumulative Incidence, Group 1",0.0061,"(0.0058,0.0066)",0.0061
"Y2015","Effect of treatment, with screening",10,"MRR",0.6778,"(0.6505,0.704)",0.6759
"Y2015","Effect of treatment, with screening",10,"ARR",0.0029,"(0.0026,0.0032)",0.0029
"Y2015","Effect of treatment, with screening",10,"NNS",344.8276,"(308.708,392.7126)",343.3138
"Y2015","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0345,"(0.034,0.0351)",0.0345
"Y2015","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0269,"(0.0265,0.0274)",0.0269
"Y2015","Effect of treatment, with screening",25,"MRR",0.7797,"(0.7679,0.7941)",0.7786
"Y2015","Effect of treatment, with screening",25,"ARR",0.0076,"(0.0071,0.0081)",0.0076
"Y2015","Effect of treatment, with screening",25,"NNS",131.5789,"(123.4767,141.466)",131.1659
