"Follow-up","Measure","SubMeasure","Y1977","Y1999","Y2015"
"10","Cumulative breast cancer mortality","","","",""
"","","No screening","103 (97,108)"," 85 (81, 89)"," 70 (67, 76)"
"","","Screening","90 (85,95)","74 (71,78)","61 (58,66)"
"","MRRs within trials","","0.88 (0.87,0.89)","0.87 (0.86,0.88)","0.87 (0.85,0.88)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.82 (0.80,0.84)","0.68 (0.66,0.71)"
"","","Screening","0.88 (0.87,0.89)","0.71 (0.70,0.73)","0.59 (0.57,0.62)"
"","ARRs within trials","","12.9 (11.5,14.0)","10.9 ( 9.6,11.7)"," 9.4 ( 8.3,10.2)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","18.6 (15.3,21.3)","32.7 (28.7,36.0)"
"","","Screening","12.9 (11.5,14.0)","29.5 (26.1,31.7)","42.1 (38.1,44.9)"
"25","Cumulative breast cancer mortality","","","",""
"","","No screening","388 (381,395)","345 (340,351)","306 (302,312)"
"","","Screening","345 (340,351)","306 (302,309)","269 (265,274)"
"","MRRs within trials","","0.89 (0.88,0.90)","0.89 (0.88,0.89)","0.88 (0.87,0.89)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.89 (0.88,0.90)","0.79 (0.78,0.80)"
"","","Screening","0.89 (0.88,0.90)","0.79 (0.78,0.80)","0.69 (0.68,0.71)"
"","ARRs within trials","","42.7 (39.6,47.5)","39.2 (36.5,42.5)","37.5 (34.7,40.6)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","42.6 (39.7,46.0)","81.6 (76.1,86.9)"
"","","Screening"," 42.7 ( 39.6, 47.5)"," 81.8 ( 77.1, 87.1)","119.1 (112.5,127.1)"
